latitude,longitude,k_value,description
-86.0,-123.99999999999994,0.03,Ice Sheet
-84.0,-123.99999999999994,0.03,Ice Sheet
-82.0,-123.99999999999994,0.03,Ice Sheet
-80.0,-123.99999999999994,0.03,Ice Sheet
-78.0,-123.99999999999994,0.03,Ice Sheet
-76.0,-123.99999999999994,0.03,Ice Sheet
-88.0,-121.99999999999994,0.03,Ice Sheet
-86.0,-121.99999999999994,0.03,Ice Sheet
-84.0,-121.99999999999994,0.03,Ice Sheet
-82.0,-121.99999999999994,0.03,Ice Sheet
-80.0,-121.99999999999994,0.03,Ice Sheet
-78.0,-121.99999999999994,0.03,Ice Sheet
-76.0,-121.99999999999994,0.03,Ice Sheet
-88.0,-119.99999999999994,0.03,Ice Sheet
-86.0,-119.99999999999994,0.03,Ice Sheet
-84.0,-119.99999999999994,0.03,Ice Sheet
-82.0,-119.99999999999994,0.03,Ice Sheet
-80.0,-119.99999999999994,0.03,Ice Sheet
-78.0,-119.99999999999994,0.03,Ice Sheet
-76.0,-119.99999999999994,0.03,Ice Sheet
-74.0,-119.99999999999994,0.03,Ice Sheet
-88.0,-117.99999999999994,0.03,Ice Sheet
-86.0,-117.99999999999994,0.03,Ice Sheet
-84.0,-117.99999999999994,0.03,Ice Sheet
-82.0,-117.99999999999994,0.03,Ice Sheet
-80.0,-117.99999999999994,0.03,Ice Sheet
-78.0,-117.99999999999994,0.03,Ice Sheet
-76.0,-117.99999999999994,0.03,Ice Sheet
-88.0,-115.99999999999994,0.03,Ice Sheet
-86.0,-115.99999999999994,0.03,Ice Sheet
-84.0,-115.99999999999994,0.03,Ice Sheet
-82.0,-115.99999999999994,0.03,Ice Sheet
-80.0,-115.99999999999994,0.03,Ice Sheet
-78.0,-115.99999999999994,0.03,Ice Sheet
-76.0,-115.99999999999994,0.03,Ice Sheet
-88.0,-113.99999999999994,0.03,Ice Sheet
-86.0,-113.99999999999994,0.03,Ice Sheet
-84.0,-113.99999999999994,0.03,Ice Sheet
-82.0,-113.99999999999994,0.03,Ice Sheet
-80.0,-113.99999999999994,0.03,Ice Sheet
-78.0,-113.99999999999994,0.03,Ice Sheet
-76.0,-113.99999999999994,0.03,Ice Sheet
-74.0,-113.99999999999994,0.03,Ice Sheet
-88.0,-111.99999999999994,0.03,Ice Sheet
-86.0,-111.99999999999994,0.03,Ice Sheet
-84.0,-111.99999999999994,0.03,Ice Sheet
-82.0,-111.99999999999994,0.03,Ice Sheet
-80.0,-111.99999999999994,0.03,Ice Sheet
-78.0,-111.99999999999994,0.03,Ice Sheet
-76.0,-111.99999999999994,0.03,Ice Sheet
-88.0,-109.99999999999994,0.03,Ice Sheet
-86.0,-109.99999999999994,0.03,Ice Sheet
-84.0,-109.99999999999994,0.03,Ice Sheet
-82.0,-109.99999999999994,0.03,Ice Sheet
-80.0,-109.99999999999994,0.03,Ice Sheet
-78.0,-109.99999999999994,0.03,Ice Sheet
-76.0,-109.99999999999994,0.03,Ice Sheet
-88.0,-107.99999999999994,0.03,Ice Sheet
-86.0,-107.99999999999994,0.03,Ice Sheet
-84.0,-107.99999999999994,0.03,Ice Sheet
-82.0,-107.99999999999994,0.03,Ice Sheet
-80.0,-107.99999999999994,0.03,Ice Sheet
-78.0,-107.99999999999994,0.03,Ice Sheet
-76.0,-107.99999999999994,0.03,Ice Sheet
-88.0,-105.99999999999994,0.03,Ice Sheet
-86.0,-105.99999999999994,0.03,Ice Sheet
-84.0,-105.99999999999994,0.03,Ice Sheet
-82.0,-105.99999999999994,0.03,Ice Sheet
-80.0,-105.99999999999994,0.03,Ice Sheet
-78.0,-105.99999999999994,0.03,Ice Sheet
-76.0,-105.99999999999994,0.03,Ice Sheet
-88.0,-103.99999999999994,0.03,Ice Sheet
-86.0,-103.99999999999994,0.03,Ice Sheet
-84.0,-103.99999999999994,0.03,Ice Sheet
-82.0,-103.99999999999994,0.03,Ice Sheet
-80.0,-103.99999999999994,0.03,Ice Sheet
-78.0,-103.99999999999994,0.03,Ice Sheet
-76.0,-103.99999999999994,0.03,Ice Sheet
-88.0,-101.99999999999994,0.03,Ice Sheet
-86.0,-101.99999999999994,0.03,Ice Sheet
-84.0,-101.99999999999994,0.03,Ice Sheet
-82.0,-101.99999999999994,0.03,Ice Sheet
-80.0,-101.99999999999994,0.03,Ice Sheet
-78.0,-101.99999999999994,0.03,Ice Sheet
-76.0,-101.99999999999994,0.03,Ice Sheet
-74.0,-101.99999999999994,0.03,Ice Sheet
-72.0,-101.99999999999994,0.03,Ice Sheet
-88.0,-99.99999999999994,0.03,Ice Sheet
-86.0,-99.99999999999994,0.03,Ice Sheet
-84.0,-99.99999999999994,0.03,Ice Sheet
-82.0,-99.99999999999994,0.03,Ice Sheet
-80.0,-99.99999999999994,0.03,Ice Sheet
-78.0,-99.99999999999994,0.03,Ice Sheet
-76.0,-99.99999999999994,0.03,Ice Sheet
-74.0,-99.99999999999994,0.03,Ice Sheet
-72.0,-99.99999999999994,0.03,Ice Sheet
-88.0,-97.99999999999994,0.03,Ice Sheet
-86.0,-97.99999999999994,0.03,Ice Sheet
-84.0,-97.99999999999994,0.03,Ice Sheet
-82.0,-97.99999999999994,0.03,Ice Sheet
-80.0,-97.99999999999994,0.03,Ice Sheet
-78.0,-97.99999999999994,0.03,Ice Sheet
-76.0,-97.99999999999994,0.03,Ice Sheet
-74.0,-97.99999999999994,0.03,Ice Sheet
-88.0,-95.99999999999994,0.03,Ice Sheet
-86.0,-95.99999999999994,0.03,Ice Sheet
-84.0,-95.99999999999994,0.03,Ice Sheet
-82.0,-95.99999999999994,0.03,Ice Sheet
-80.0,-95.99999999999994,0.03,Ice Sheet
-78.0,-95.99999999999994,0.03,Ice Sheet
-76.0,-95.99999999999994,0.03,Ice Sheet
-74.0,-95.99999999999994,0.03,Ice Sheet
-88.0,-93.99999999999994,0.03,Ice Sheet
-86.0,-93.99999999999994,0.03,Ice Sheet
-84.0,-93.99999999999994,0.03,Ice Sheet
-82.0,-93.99999999999994,0.03,Ice Sheet
-80.0,-93.99999999999994,0.03,Ice Sheet
-78.0,-93.99999999999994,0.03,Ice Sheet
-76.0,-93.99999999999994,0.03,Ice Sheet
-74.0,-93.99999999999994,0.03,Ice Sheet
-88.0,-91.99999999999994,0.03,Ice Sheet
-86.0,-91.99999999999994,0.03,Ice Sheet
-84.0,-91.99999999999994,0.03,Ice Sheet
-82.0,-91.99999999999994,0.03,Ice Sheet
-80.0,-91.99999999999994,0.03,Ice Sheet
-78.0,-91.99999999999994,0.03,Ice Sheet
-76.0,-91.99999999999994,0.03,Ice Sheet
-74.0,-91.99999999999994,0.03,Ice Sheet
-88.0,-89.99999999999994,0.03,Ice Sheet
-86.0,-89.99999999999994,0.03,Ice Sheet
-84.0,-89.99999999999994,0.03,Ice Sheet
-82.0,-89.99999999999994,0.03,Ice Sheet
-80.0,-89.99999999999994,0.03,Ice Sheet
-78.0,-89.99999999999994,0.03,Ice Sheet
-76.0,-89.99999999999994,0.03,Ice Sheet
-74.0,-89.99999999999994,0.03,Ice Sheet
-88.0,-87.99999999999994,0.03,Ice Sheet
-86.0,-87.99999999999994,0.03,Ice Sheet
-84.0,-87.99999999999994,0.03,Ice Sheet
-82.0,-87.99999999999994,0.03,Ice Sheet
-80.0,-87.99999999999994,0.03,Ice Sheet
-78.0,-87.99999999999994,0.03,Ice Sheet
-76.0,-87.99999999999994,0.03,Ice Sheet
-74.0,-87.99999999999994,0.03,Ice Sheet
-88.0,-85.99999999999994,0.03,Ice Sheet
-86.0,-85.99999999999994,0.03,Ice Sheet
-84.0,-85.99999999999994,0.03,Ice Sheet
-82.0,-85.99999999999994,0.03,Ice Sheet
-80.0,-85.99999999999994,0.03,Ice Sheet
-78.0,-85.99999999999994,0.03,Ice Sheet
-76.0,-85.99999999999994,0.03,Ice Sheet
-74.0,-85.99999999999994,0.03,Ice Sheet
-88.0,-83.99999999999994,0.03,Ice Sheet
-86.0,-83.99999999999994,0.03,Ice Sheet
-84.0,-83.99999999999994,0.03,Ice Sheet
-82.0,-83.99999999999994,0.03,Ice Sheet
-80.0,-83.99999999999994,0.03,Ice Sheet
-78.0,-83.99999999999994,0.03,Ice Sheet
-76.0,-83.99999999999994,0.03,Ice Sheet
-74.0,-83.99999999999994,0.03,Ice Sheet
-88.0,-81.99999999999994,0.03,Ice Sheet
-86.0,-81.99999999999994,0.03,Ice Sheet
-84.0,-81.99999999999994,0.03,Ice Sheet
-82.0,-81.99999999999994,0.03,Ice Sheet
-80.0,-81.99999999999994,0.03,Ice Sheet
-78.0,-81.99999999999994,0.03,Ice Sheet
-76.0,-81.99999999999994,0.03,Ice Sheet
-74.0,-81.99999999999994,0.03,Ice Sheet
-88.0,-79.99999999999994,0.03,Ice Sheet
-86.0,-79.99999999999994,0.03,Ice Sheet
-84.0,-79.99999999999994,0.03,Ice Sheet
-82.0,-79.99999999999994,0.03,Ice Sheet
-80.0,-79.99999999999994,0.03,Ice Sheet
-78.0,-79.99999999999994,0.03,Ice Sheet
-76.0,-79.99999999999994,0.03,Ice Sheet
-74.0,-79.99999999999994,0.03,Ice Sheet
-88.0,-77.99999999999994,0.03,Ice Sheet
-86.0,-77.99999999999994,0.03,Ice Sheet
-84.0,-77.99999999999994,0.03,Ice Sheet
-82.0,-77.99999999999994,0.03,Ice Sheet
-80.0,-77.99999999999994,0.03,Ice Sheet
-78.0,-77.99999999999994,0.03,Ice Sheet
-76.0,-77.99999999999994,0.03,Ice Sheet
-74.0,-77.99999999999994,0.03,Ice Sheet
-88.0,-75.99999999999994,0.03,Ice Sheet
-86.0,-75.99999999999994,0.03,Ice Sheet
-84.0,-75.99999999999994,0.03,Ice Sheet
-82.0,-75.99999999999994,0.03,Ice Sheet
-78.0,-75.99999999999994,0.03,Ice Sheet
-76.0,-75.99999999999994,0.03,Ice Sheet
-74.0,-75.99999999999994,0.03,Ice Sheet
-88.0,-73.99999999999994,0.03,Ice Sheet
-86.0,-73.99999999999994,0.03,Ice Sheet
-84.0,-73.99999999999994,0.03,Ice Sheet
-82.0,-73.99999999999994,0.03,Ice Sheet
-78.0,-73.99999999999994,0.03,Ice Sheet
-76.0,-73.99999999999994,0.03,Ice Sheet
-74.0,-73.99999999999994,0.03,Ice Sheet
-72.0,-73.99999999999994,0.03,Ice Sheet
-88.0,-71.99999999999994,0.03,Ice Sheet
-86.0,-71.99999999999994,0.03,Ice Sheet
-84.0,-71.99999999999994,0.03,Ice Sheet
-82.0,-71.99999999999994,0.03,Ice Sheet
-76.0,-71.99999999999994,0.03,Ice Sheet
-74.0,-71.99999999999994,0.03,Ice Sheet
-72.0,-71.99999999999994,0.03,Ice Sheet
-88.0,-69.99999999999994,0.03,Ice Sheet
-86.0,-69.99999999999994,0.03,Ice Sheet
-84.0,-69.99999999999994,0.03,Ice Sheet
-82.0,-69.99999999999994,0.03,Ice Sheet
-76.0,-69.99999999999994,0.03,Ice Sheet
-74.0,-69.99999999999994,0.03,Ice Sheet
-72.0,-69.99999999999994,0.03,Ice Sheet
-70.0,-69.99999999999994,0.03,Ice Sheet
-88.0,-67.99999999999994,0.03,Ice Sheet
-86.0,-67.99999999999994,0.03,Ice Sheet
-84.0,-67.99999999999994,0.03,Ice Sheet
-82.0,-67.99999999999994,0.03,Ice Sheet
-74.0,-67.99999999999994,0.03,Ice Sheet
-70.0,-67.99999999999994,0.03,Ice Sheet
-88.0,-65.99999999999994,0.03,Ice Sheet
-86.0,-65.99999999999994,0.03,Ice Sheet
-84.0,-65.99999999999994,0.03,Ice Sheet
-82.0,-65.99999999999994,0.03,Ice Sheet
-74.0,-65.99999999999994,0.03,Ice Sheet
-72.0,-65.99999999999994,0.03,Ice Sheet
-70.0,-65.99999999999994,0.03,Ice Sheet
-68.0,-65.99999999999994,0.03,Ice Sheet
-88.0,-63.99999999999994,0.03,Ice Sheet
-86.0,-63.99999999999994,0.03,Ice Sheet
-84.0,-63.99999999999994,0.03,Ice Sheet
-82.0,-63.99999999999994,0.03,Ice Sheet
-74.0,-63.99999999999994,0.03,Ice Sheet
-72.0,-63.99999999999994,0.03,Ice Sheet
-70.0,-63.99999999999994,0.03,Ice Sheet
-66.0,-63.99999999999994,0.03,Ice Sheet
-88.0,-61.99999999999994,0.03,Ice Sheet
-86.0,-61.99999999999994,0.03,Ice Sheet
-84.0,-61.99999999999994,0.03,Ice Sheet
-82.0,-61.99999999999994,0.03,Ice Sheet
-74.0,-61.99999999999994,0.03,Ice Sheet
-72.0,-61.99999999999994,0.03,Ice Sheet
-88.0,-59.99999999999994,0.03,Ice Sheet
-86.0,-59.99999999999994,0.03,Ice Sheet
-84.0,-59.99999999999994,0.03,Ice Sheet
-80.0,-59.99999999999994,0.03,Ice Sheet
-64.0,-59.99999999999994,0.03,Ice Sheet
-88.0,-57.99999999999994,0.03,Ice Sheet
-86.0,-57.99999999999994,0.03,Ice Sheet
-84.0,-57.99999999999994,0.03,Ice Sheet
-88.0,-55.99999999999994,0.03,Ice Sheet
-86.0,-55.99999999999994,0.03,Ice Sheet
-84.0,-55.99999999999994,0.03,Ice Sheet
-88.0,-53.99999999999994,0.03,Ice Sheet
-86.0,-53.99999999999994,0.03,Ice Sheet
-84.0,-53.99999999999994,0.03,Ice Sheet
-88.0,-51.99999999999994,0.03,Ice Sheet
-86.0,-51.99999999999994,0.03,Ice Sheet
-84.0,-51.99999999999994,0.03,Ice Sheet
-80.0,-51.99999999999994,0.03,Ice Sheet
-88.0,-49.99999999999994,0.03,Ice Sheet
-86.0,-49.99999999999994,0.03,Ice Sheet
-84.0,-49.99999999999994,0.03,Ice Sheet
-82.0,-49.99999999999994,0.03,Ice Sheet
-80.0,-49.99999999999994,0.03,Ice Sheet
-88.0,-47.99999999999994,0.03,Ice Sheet
-86.0,-47.99999999999994,0.03,Ice Sheet
-84.0,-47.99999999999994,0.03,Ice Sheet
-82.0,-47.99999999999994,0.03,Ice Sheet
-80.0,-47.99999999999994,0.03,Ice Sheet
-88.0,-45.99999999999994,0.03,Ice Sheet
-86.0,-45.99999999999994,0.03,Ice Sheet
-84.0,-45.99999999999994,0.03,Ice Sheet
-82.0,-45.99999999999994,0.03,Ice Sheet
-80.0,-45.99999999999994,0.03,Ice Sheet
-78.0,-45.99999999999994,0.03,Ice Sheet
-88.0,-43.99999999999994,0.03,Ice Sheet
-86.0,-43.99999999999994,0.03,Ice Sheet
-84.0,-43.99999999999994,0.03,Ice Sheet
-82.0,-43.99999999999994,0.03,Ice Sheet
-80.0,-43.99999999999994,0.03,Ice Sheet
-88.0,-41.99999999999994,0.03,Ice Sheet
-86.0,-41.99999999999994,0.03,Ice Sheet
-84.0,-41.99999999999994,0.03,Ice Sheet
-82.0,-41.99999999999994,0.03,Ice Sheet
-88.0,-39.99999999999994,0.03,Ice Sheet
-86.0,-39.99999999999994,0.03,Ice Sheet
-84.0,-39.99999999999994,0.03,Ice Sheet
-82.0,-39.99999999999994,0.03,Ice Sheet
-88.0,-37.99999999999994,0.03,Ice Sheet
-86.0,-37.99999999999994,0.03,Ice Sheet
-84.0,-37.99999999999994,0.03,Ice Sheet
-82.0,-37.99999999999994,0.03,Ice Sheet
-88.0,-35.99999999999994,0.03,Ice Sheet
-86.0,-35.99999999999994,0.03,Ice Sheet
-84.0,-35.99999999999994,0.03,Ice Sheet
-82.0,-35.99999999999994,0.03,Ice Sheet
-88.0,-33.99999999999994,0.03,Ice Sheet
-86.0,-33.99999999999994,0.03,Ice Sheet
-84.0,-33.99999999999994,0.03,Ice Sheet
-82.0,-33.99999999999994,0.03,Ice Sheet
-78.0,-33.99999999999994,0.03,Ice Sheet
-88.0,-31.999999999999943,0.03,Ice Sheet
-86.0,-31.999999999999943,0.03,Ice Sheet
-84.0,-31.999999999999943,0.03,Ice Sheet
