latitude,longitude,k_value,description
69.0,-171.0,0.0003,Ocean
72.0,-171.0,0.0003,Ocean
75.0,-171.0,0.0003,Ocean
78.0,-171.0,0.0003,Ocean
81.0,-171.0,0.0003,Ocean
84.0,-171.0,0.0003,Ocean
87.0,-171.0,0.0003,Ocean
-84.0,-168.0,0.0003,Ocean
-81.0,-168.0,0.0003,Ocean
-78.0,-168.0,0.0003,Ocean
-75.0,-168.0,0.0003,Ocean
-72.0,-168.0,0.0003,Ocean
-69.0,-168.0,0.0003,Ocean
-66.0,-168.0,0.0003,Ocean
-63.0,-168.0,0.0003,Ocean
-60.0,-168.0,0.0003,Ocean
-57.0,-168.0,0.0003,Ocean
-54.0,-168.0,0.0003,Ocean
-51.0,-168.0,0.0003,Ocean
-48.0,-168.0,0.0003,Ocean
-45.0,-168.0,0.0003,Ocean
-42.0,-168.0,0.0003,Ocean
-39.0,-168.0,0.0003,Ocean
-36.0,-168.0,0.0003,Ocean
-33.0,-168.0,0.0003,Ocean
-30.0,-168.0,0.0003,Ocean
-27.0,-168.0,0.0003,Ocean
-24.0,-168.0,0.0003,Ocean
-21.0,-168.0,0.0003,Ocean
-18.0,-168.0,0.0003,Ocean
-15.0,-168.0,0.0003,Ocean
-12.0,-168.0,0.0003,Ocean
-9.0,-168.0,0.0003,Ocean
-6.0,-168.0,0.0003,Ocean
-3.0,-168.0,0.0003,Ocean
0.0,-168.0,0.0003,Ocean
3.0,-168.0,0.0003,Ocean
6.0,-168.0,0.0003,Ocean
9.0,-168.0,0.0003,Ocean
12.0,-168.0,0.0003,Ocean
15.0,-168.0,0.0003,Ocean
18.0,-168.0,0.0003,Ocean
21.0,-168.0,0.0003,Ocean
24.0,-168.0,0.0003,Ocean
27.0,-168.0,0.0003,Ocean
30.0,-168.0,0.0003,Ocean
33.0,-168.0,0.0003,Ocean
36.0,-168.0,0.0003,Ocean
39.0,-168.0,0.0003,Ocean
42.0,-168.0,0.0003,Ocean
45.0,-168.0,0.0003,Ocean
48.0,-168.0,0.0003,Ocean
51.0,-168.0,0.0003,Ocean
54.0,-168.0,0.0003,Ocean
57.0,-168.0,0.0003,Ocean
60.0,-168.0,0.0003,Ocean
63.0,-168.0,0.0003,Ocean
66.0,-168.0,0.0003,Ocean
69.0,-168.0,0.0003,Ocean
72.0,-168.0,0.0003,Ocean
75.0,-168.0,0.0003,Ocean
78.0,-168.0,0.0003,Ocean
81.0,-168.0,0.0003,Ocean
84.0,-168.0,0.0003,Ocean
87.0,-168.0,0.0003,Ocean
-84.0,-165.0,0.0003,Ocean
-81.0,-165.0,0.0003,Ocean
-78.0,-165.0,0.0003,Ocean
-75.0,-165.0,0.0003,Ocean
-72.0,-165.0,0.0003,Ocean
-69.0,-165.0,0.0003,Ocean
-66.0,-165.0,0.0003,Ocean
-63.0,-165.0,0.0003,Ocean
-60.0,-165.0,0.0003,Ocean
-57.0,-165.0,0.0003,Ocean
-54.0,-165.0,0.0003,Ocean
-51.0,-165.0,0.0003,Ocean
-48.0,-165.0,0.0003,Ocean
-45.0,-165.0,0.0003,Ocean
-42.0,-165.0,0.0003,Ocean
-39.0,-165.0,0.0003,Ocean
-36.0,-165.0,0.0003,Ocean
-33.0,-165.0,0.0003,Ocean
-30.0,-165.0,0.0003,Ocean
-27.0,-165.0,0.0003,Ocean
-24.0,-165.0,0.0003,Ocean
-21.0,-165.0,0.0003,Ocean
-18.0,-165.0,0.0003,Ocean
-15.0,-165.0,0.0003,Ocean
-12.0,-165.0,0.0003,Ocean
-9.0,-165.0,0.0003,Ocean
-6.0,-165.0,0.0003,Ocean
-3.0,-165.0,0.0003,Ocean
0.0,-165.0,0.0003,Ocean
3.0,-165.0,0.0003,Ocean
6.0,-165.0,0.0003,Ocean
9.0,-165.0,0.0003,Ocean
12.0,-165.0,0.0003,Ocean
15.0,-165.0,0.0003,Ocean
18.0,-165.0,0.0003,Ocean
21.0,-165.0,0.0003,Ocean
24.0,-165.0,0.0003,Ocean
27.0,-165.0,0.0003,Ocean
30.0,-165.0,0.0003,Ocean
33.0,-165.0,0.0003,Ocean
36.0,-165.0,0.0003,Ocean
39.0,-165.0,0.0003,Ocean
