latitude,longitude,k_value,description
-23.7422,114.3702,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-27.404,115.6826,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesoproterozoic"
-24.7287,122.624,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesoproterozoic"
-24.3654,119.2234,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesoproterozoic"
-15.2582,124.8174,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
-14.9857,124.9051,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
-16.2189,126.6283,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
-22.8034,118.2208,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic to Archean"
-21.9692,120.8852,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic to Archean"
-21.9776,121.9246,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesoproterozoic"
-29.3893,124.924,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-28.4288,114.7846,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-22.8649,122.6326,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-22.9279,117.6147,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic to Archean"
-22.6867,116.9053,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic to Archean"
-26.9579,124.0088,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
-23.0553,116.661,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
-15.594,124.7046,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Paleoproterozoic"
-15.2901,124.3993,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Paleoproterozoic"
-18.9161,135.2252,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-22.893,117.2743,0.4,"Continental crust, Undifferentiated facies - Archean"
-26.4698,127.0531,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-23.9376,121.6672,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Neoproterozoic"
-26.132,120.4889,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
-0.5093,119.968,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
0.1985,112.7385,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-3.5104,121.8406,0.4,Ophiolitic complex of Meso-Cenozoic age
-1.794,115.9769,0.4,Ophiolitic complex of Meso-Cenozoic age
-1.1811,122.2465,0.4,Ophiolitic complex of Meso-Cenozoic age
-11.4465,124.3849,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
